Row,Peak,RMS,MeanAbs,STD,SettlingTime,Overshoot_%,ISE,ITAE
Delta f1,0.170758957859961,0.0994759599062663,0.0877455303694181,0.0987723228133952,200,341.816140042354,1.97940731658769,1794.2524732796
Delta f2,0.16207687662831,0.0929566796367795,0.0821699734767011,0.0921656156507763,200,581.962621708524,1.72851554331873,1648.45223142127
Tie-line,0.123138660826193,0.0819284695911283,0.0725422266931909,0.08189862175449,200,632.57668710713,1.34278544452629,1473.13498985777
