Row,Peak,RMS,MeanAbs,STD,SettlingTime,Overshoot_%,ISE,ITAE
Delta f1,0.166991668329752,0.09956861359757,0.0880330069131703,0.0992720023963878,200,321.00814542988,1.98310009425631,1807.76308954704
Delta f2,0.158606532492871,0.0930115325604672,0.0824490906244012,0.0926697143121975,200,519.21575891308,1.7305607508278,1662.23453737493
Tie-line,0.122301682497946,0.0821444826623177,0.0727487997354631,0.0821457471271236,200,635.847721617544,1.34987573379621,1480.48644797235
