Row,Peak,RMS,MeanAbs,STD,SettlingTime,Overshoot_%,ISE,ITAE
Delta f1,0.309212296470393,0.213550699988731,0.189515741744849,0.213520471768175,200,162.43582933523,9.12243523075984,3809.08611905356
Delta f2,0.307698786794358,0.212883621518773,0.189341671810369,0.212835178324283,200,148.599174709047,9.06537733102891,3794.86868188252
Tie-line,0.126651560788018,0.0877972348604083,0.0782902540816024,0.0877691478032785,200,144.122215579236,1.54191427121393,1563.59923635861
